State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
Alabama,1,19,1635255,15-19,2002-2006,17,2004,1987,0
Alaska,2,10,272225,15-19,2002-2006,17,2004,1987,-1
Arizona,4,64,2025429,15-19,2002-2006,17,2004,1987,0
Arkansas,5,34,983904,15-19,2002-2006,17,2004,1987,0
California,6,97,13120037,15-19,2002-2006,17,2004,1987,0
Colorado,8,29,1641317,15-19,2002-2006,17,2004,1987,0
Connecticut,9,45,1212894,15-19,2002-2006,17,2004,1987,0
Delaware,10,10,300090,15-19,2002-2006,17,2004,1987,-1
District of Columbia,11,10,191257,15-19,2002-2006,17,2004,1987,-1
Florida,12,209,5691854,15-19,2002-2006,17,2004,1987,0
Georgia,13,42,3203305,15-19,2002-2006,17,2004,1987,0
Hawaii,15,10,418484,15-19,2002-2006,17,2004,1987,-1
Idaho,16,10,558503,15-19,2002-2006,17,2004,1987,0
Illinois,17,102,4532226,15-19,2002-2006,17,2004,1987,0
Indiana,18,30,2292518,15-19,2002-2006,17,2004,1987,0
Iowa,19,12,1105245,15-19,2002-2006,17,2004,1987,0
Kansas,20,10,1048239,15-19,2002-2006,17,2004,1987,-1
Kentucky,21,57,1432427,15-19,2002-2006,17,2004,1987,0
Louisiana,22,45,1735101,15-19,2002-2006,17,2004,1987,0
Maine,23,16,469452,15-19,2002-2006,17,2004,1987,0
Maryland,24,64,1959993,15-19,2002-2006,17,2004,1987,0
Massachusetts,25,53,2253921,15-19,2002-2006,17,2004,1987,0
Michigan,26,49,3716266,15-19,2002-2006,17,2004,1987,0
Minnesota,27,13,1907260,15-19,2002-2006,17,2004,1987,0
Mississippi,28,10,1115600,15-19,2002-2006,17,2004,1987,-1
Missouri,29,55,2103654,15-19,2002-2006,17,2004,1987,0
Montana,30,12,357729,15-19,2002-2006,17,2004,1987,0
Nebraska,31,10,671781,15-19,2002-2006,17,2004,1987,-1
Nevada,32,44,753047,15-19,2002-2006,17,2004,1987,0
New Hampshire,33,18,473098,15-19,2002-2006,17,2004,1987,0
New Jersey,34,56,2857181,15-19,2002-2006,17,2004,1987,0
New Mexico,35,19,749046,15-19,2002-2006,17,2004,1987,0
New York,36,75,6720983,15-19,2002-2006,17,2004,1987,0
North Carolina,37,125,2975350,15-19,2002-2006,17,2004,1987,0
North Dakota,38,10,261503,15-19,2002-2006,17,2004,1987,-1
Ohio,39,79,4114017,15-19,2002-2006,17,2004,1987,0
Oklahoma,40,52,1313289,15-19,2002-2006,17,2004,1987,0
Oregon,41,27,1251645,15-19,2002-2006,17,2004,1987,0
Pennsylvania,42,87,4460233,15-19,2002-2006,17,2004,1987,0
Rhode Island,44,10,400983,15-19,2002-2006,17,2004,1987,-1
South Carolina,45,20,1545957,15-19,2002-2006,17,2004,1987,0
South Dakota,46,10,305793,15-19,2002-2006,17,2004,1987,-1
Tennessee,47,49,2033197,15-19,2002-2006,17,2004,1987,0
Texas,48,194,8613164,15-19,2002-2006,17,2004,1987,0
Utah,49,42,1050314,15-19,2002-2006,17,2004,1987,0
Vermont,50,10,244087,15-19,2002-2006,17,2004,1987,-1
Virginia,51,50,2629654,15-19,2002-2006,17,2004,1987,0
Washington,53,57,2219553,15-19,2002-2006,17,2004,1987,0
West Virginia,54,27,599704,15-19,2002-2006,17,2004,1987,0
Wisconsin,55,42,2077914,15-19,2002-2006,17,2004,1987,0
Wyoming,56,10,198333,15-19,2002-2006,17,2004,1987,-1
Alabama,1,56,1629510,20-24,2002-2006,22,2004,1982,0
Alaska,2,11,251115,20-24,2002-2006,22,2004,1982,0
Arizona,4,126,2057884,20-24,2002-2006,22,2004,1982,0
Arkansas,5,65,982507,20-24,2002-2006,22,2004,1982,0
California,6,355,13103207,20-24,2002-2006,22,2004,1982,0
Colorado,8,91,1689805,20-24,2002-2006,22,2004,1982,0
Connecticut,9,106,1024088,20-24,2002-2006,22,2004,1982,0
Delaware,10,16,288498,20-24,2002-2006,22,2004,1982,0
District of Columbia,11,10,261600,20-24,2002-2006,22,2004,1982,-1
Florida,12,507,5584133,20-24,2002-2006,22,2004,1982,0
Georgia,13,115,3212606,20-24,2002-2006,22,2004,1982,0
Hawaii,15,10,476391,20-24,2002-2006,22,2004,1982,-1
Idaho,16,13,531211,20-24,2002-2006,22,2004,1982,0
Illinois,17,315,4426928,20-24,2002-2006,22,2004,1982,0
